text,label
Aaoooooright Bạn có đang làm việc không?,0
Tôi đang rời khỏi nhà của tôi bây giờ ...,0
Xin chào tình yêu của tôi.,0
Dịch vụ khách hàng annoncility.,1
"Bạn là người chiến thắng, bạn đã được lựa chọn đặc biệt 2 nhận ’£ 1000 tiền mặt hoặc 4* Holiday (Flights Inc) Nói chuyện với Nhà điều hành trực tiếp 2 Yêu cầu 0871277810810",1
Giữ cho bản thân an toàn cho tôi vì tôi cần bạn và tôi nhớ bạn rồi và tôi ghen tị với mọi người nhìn thấy bạn trong cuộc sống thực,0
Xe và nhà mới cho bố mẹ tôi .:) Tôi chỉ có công việc mới trong tay :),0
Tôi rất yêu bạn.,0
-Pls dừng chiến lợi phẩm (32/f) đang mời bạn làm bạn của cô ấy.,1
-Pls dừng chiến lợi phẩm (32/f) đang mời bạn làm bạn của cô ấy.,1
Bangbabes Đơn hàng của bạn đang trên đường.,0
CẤP BÁCH!,1
"Chào bạn, cách tốt nhất để tránh sự hiểu lầm với người yêu dấu của chúng ta?",0
Thoát tuyệt vời.,0
Có :) Nó hoàn toàn ngoài hình thức :) Clark cũng thốt ra chất thải.,0
"Thưa ông, tôi cần tài khoản ngân hàng trục không và địa chỉ ngân hàng.",0
"Hmmm .. thk chắc chắn có thời gian để hop ard ... ya, có thể đi 4 miễn phí ... Muz gọi cho bạn để thảo luận về liao ...",0
Bạn đi xuống lúc mấy giờ?,0
"Địa ngục đẫm máu, không thể tin rằng bạn đã quên họ của tôi.",0
"Chà, tôi sẽ hoàn thành phòng tắm của mình bây giờ.",0
Hãy cho tôi biết khi bạn có tiền để Carlos có thể thực hiện cuộc gọi,0
Bạn vẫn đi đến trung tâm mua sắm?,0
Hóa ra bạn bè của tôi đang ở lại cho toàn bộ chương trình và sẽ không trở lại cho đến khi ~ & lt;#& gt;,0
Nhắn tin cho cô ấy.,0
CHÀO!,0
Bạn đã nâng hy vọng của tôi với lời đề nghị của tiền.,0
Lol không.,0
Được rồi.,0
"Anh ấy sẽ, các bạn gần gũi?",0
Không có gì tuyệt vời .Bye,0
Không có gì tuyệt vời .Bye,0
"Haha tuyệt vời, ở đó trong một phút",0
Vui lòng gọi cho đại diện dịch vụ khách hàng của chúng tôi trên FreePhone 0808 145 4742 trong khoảng thời gian từ 9 giờ sáng đến 11 giờ tối vì bạn đã giành được một khoản tiền mặt £ 1000 hoặc giải thưởng £ 5000!,1
Bạn đã có XMAS Radio Times.,0
Tôi đã trở về nhà.,0
Tôi đã trở về nhà.,1
Bạn có đủ độc đáo không?,0
Xin chào :) cuối cùng tôi đã hoàn thành khóa học :),0
Nó sẽ dừng lại trên chính nó.,0
Bạn dạo này thế nào?,0
Chào buổi sáng thân yêu có một ngày tốt lành,0
Bạn đã có câu chuyện của người đó,0
Hamster của bạn có chết không?,0
"Xin chào, Kate của nó buổi tối của bạn thế nào?",0
"Xin chào, Kate của nó buổi tối của bạn thế nào?",0
Tôi đã gửi cho bạn & lt;#& gt;,0
"Xin chào Darlin, bây giờ tôi đã học xong đại học nên hãy nhắn tin cho tôi khi bạn hoàn thành nếu bạn có thể yêu Kate xxx",0
Tài khoản của bạn đã được nạp lại thành công bởi INR & lt; thập phân & gt;,0
Good đang ngủ Ga.,0
Bạn gọi tôi là thay đổi lúc 11 ok.,0
Ìï nói cho đến khi như dat tôi không mua ericsson oso không thể oredi lar ...,0
"Khi tôi bước vào cabin của tôi, tôi đã nói, '' B'day Boss hạnh phúc !! ''.",0
"Aight yo, Dats Straight Dogg",0
Bạn vui lòng cho chúng tôi kết nối ngay hôm nay trước & lt; thập phân & gt;,0
Cả hai :) Tôi bắn rất nhiều vì vậy hãy sẵn sàng!,0
"Có chuyện gì vậy, hy vọng bạn đã có một kỳ nghỉ tuyệt vời.",0
Nhà để chúng tôi luôn có thể trò chuyện,0
K :) k :) tốt :) học tốt.,0
Yup ... Làm thế nào ì_ Noe leh ...,0
Nghe có vẻ tuyệt vời!,0
"Cuối cùng, trận đấu hướng tới Draw như dự đoán của bạn.",0
Mệt.,0
Ah dễ dàng? Sen được chọn có nghĩa là nó tốt ..,0
Tôi phải thi với ngày 3 tháng 3,0
"Vâng, bạn nên.",0
Ok không có vấn đề gì.,0
Có hệ điều hành được gọi là Ubandu sẽ chạy mà không cần cài đặt trong đĩa cứng ... bạn có thể sử dụng hệ điều hành đó để sao chép các tệp quan trọng trong hệ thống và cung cấp cho cửa hàng sửa chữa ..,0
"Xin lỗi, tôi sẽ gọi sau",0
"Xin lỗi, tôi sẽ gọi sau",0
"500 điện thoại di động mới từ năm 2004, phải đi!",1
Sẽ thực sự đánh giá cao nếu bạn gọi cho tôi.,0
Bạn sẽ gặp đối tác mơ ước của bạn sớm?,1
Này công ty Elama Po Mudyadhu.,0
Cuộc sống nghiêm ngặt hơn giáo viên ... Giáo viên BCOZ dạy bài học & amp;,0
Chào buổi sáng chào buổi sáng bây giờ chỉ có tôi thức dậy,0
Đi xuống Gandhipuram và đi bộ để băng qua đường cắt.,0
"Thân mến, chúng tôi sẽ đến nơi cao su của chúng tôi",0
"Xin lỗi pin đã chết, vâng tôi ở đây",0
Có :) ở đây TV luôn có sẵn ở nơi làm việc ..,0
Text & Gặp ai đó gợi cảm hôm nay.,1
Tôi đã in nó oh.,0
Hoặc tôi sẽ gần hơn một chút như ở trạm xe buýt trên cùng một con phố,0
Bạn đang ở đâu? Khi nào bạn sẽ đến đây?,0
"Lý thuyết mới: Đối số chiến thắng tình huống D, nhưng mất người.",0
"U 447801259231 có một người hâm mộ bí mật, người đang tìm kiếm 2 người liên lạc với U-Find ra ai mà họ tiết lộ ai nghĩ bạn rất đặc biệt vào ngày 09058094597",1
Ngày mai xét xử cuối cùng về hộp đựng máy tính xách tay của tôi nên tôi không thể.,0
Pleasssssssseeeeee tel me v avent thực hiện sportx,0
Được rồi.,0
"Mặc dù bây giờ tôi đã nói với bạn, tôi đang thích đồng hồ Baig nhưng tôi thực sự thích e xem bạn đã cho vì nó là fr u.",0
Bạn không nhớ thương mại cũ đó?,0
Quá muộn.,0
Tôi đã yêu cầu bạn gọi cho anh ấy ngay bây giờ ok,0
Kallis sẽ không dơi trong hiệp thứ 2.,0
Nó không hoạt động trở lại oh.,0
Xin chúc mừng bạn đã trao 500 phiếu chứng từ CD hoặc 125Gift Đảm bảo & Nhập miễn phí 2 100 WKLY Vẽ nhạc TXT tới 87066 TNCS www.ldew.com1win150ppmx3age16,1
Ranjith Cal Drpd Deeraj và Deepak 5 phút,0
Ranjith Cal Drpd Deeraj và Deepak 5 phút,0
"Wen của bạn đáng yêu bcums giận dữ u, không nghiêm túc .. vì tức giận là một cách trẻ con nhất để thể hiện tình cảm sâu sắc, quan tâm n luv! .. kettoda manda ... Chúc một ngày tốt lành da.",0
UPS cũng là 3 ngày và công ty vận chuyển mất 2 tuần.,0
"Tôi đã trở lại, Lemme biết khi nào bạn đã sẵn sàng",0
Không nhất thiết phải mong đợi nó sẽ được thực hiện trước khi bạn quay lại vì tôi vừa mới ra ngoài,0
"Mmm rất ngon, Babe ... Nice Jolt to the Suzy",0
Bạn đang ở đâu?,0
Chúng tôi đã cố gắng liên hệ với bạn trả lời của bạn cho lời đề nghị của chúng tôi về một chiếc điện thoại video?,1
I ‰ û m đậu bên cạnh một mini !!!!,0
Chuẩn rồi,0
Dù sao thì tôi cũng đang đi mua sắm một mình.,0
Dù sao thì tôi cũng đang đi mua sắm một mình.,0
"Này, tôi thực sự rất vui khi muốn trò chuyện hoặc xem tôi khỏa thân văn bản nóng đến 69698 Văn bản được tính vào lúc 150pm để hủy đăng ký văn bản dừng 69698",1
Tại sao bạn không đi cùng chúng tôi.,0
Sam.,0
"Chưa chắc chắn, vẫn cố giữ anh ta",0
Dịch vụ nhạc chuông của bạn đã thay đổi!,1
Dịch vụ nhạc chuông của bạn đã thay đổi!,0
Câu lạc bộ nhạc chuông: Nhận bảng xếp hạng người độc thân của Vương quốc Anh trên điện thoại di động của bạn mỗi tuần và chọn bất kỳ nhạc chuông chất lượng hàng đầu nào!,1
"Hãy đến với MU, chúng tôi đang sắp xếp tình huống ma túy của mình",0
"Đêm đã kết thúc cho một ngày khác, buổi sáng đã đến một cách đặc biệt.",0
Phần thưởng đặc biệt của HMV 500 pound các chứng từ HMV chính hãng sẽ giành được.,1
Phần thưởng đặc biệt của HMV 500 pound các chứng từ HMV chính hãng sẽ giành được.,0
Không phản đối.,0
Thanx ...,0
Nói với Rob cho Mack GF của anh ấy trong nhà hát,0
"Tuyệt vời, tôi sẽ gặp bạn một chút",0
Vừa gửi nó.,0
Tất cả đã hoàn thành?,0
Tất cả đã hoàn thành?,0
\ Wen bạn nhớ ai đó,0
Được rồi.,0
Okie ...,0
"Vâng, tôi nghĩ rằng anh chàng thông thường của tôi vẫn bị bất tỉnh từ đêm qua, nếu bạn nhận được bất kỳ ai cho tôi biết và tôi sẽ ném xuống",0
"K, tôi có thể đến tối nay nếu lớp của tôi cho ra sớm",0
Được rồi..,0
"Chào em bé, tôi đang đi Cruisin với bạn gái của tôi là gì bạn lên 2?",0
"Cuộc sống của tôi có ý nghĩa rất lớn đối với tôi, không phải vì tôi yêu cuộc sống của mình, mà vì tôi yêu những người trong đời, thế giới gọi họ là bạn bè, tôi gọi họ là thế giới của tôi :-) .. ge :-) ..",0
"Thân mến, sẽ gửi thư tonite.",0
Này bạn đã nói tên bạn với Gautham Ah?,0
Haf bạn đã tìm thấy anh ta?,0
Ối.,0
Bạn có nhiều điều này rất nhiều,0
Tôi vô tình xóa tin nhắn.,0
Tôi vô tình xóa tin nhắn.,1
Trừ khi đó là tình huống bạn đi Gurl sẽ phù hợp hơn,0
"Làm tổn thương tôi ... trêu chọc tôi ... làm cho tôi khóc ... nhưng cuối đời tôi đã chết, hãy giữ một bông hồng trên mộ của tôi và nói ngu ngốc tôi nhớ bạn .. Chúc một ngày tốt lành BSLVYL",0
Tôi không thể chọn điện thoại ngay bây giờ.,0
Cần một cà phê chạy tomo? Không thể tin rằng đó là thời điểm đó trong tuần rồi,0
"Tuyệt vời, tôi nhớ lần cuối cùng chúng tôi có ai đó cao lần đầu tiên với Diesel: V",0
"Chết tiệt thực sự gây sốc và đáng sợ, không thể tưởng tượng trong một giây.",0
Oh và nhân tiện bạn có nhiều thức ăn hơn trong tủ lạnh của bạn!,0
Anh ấy là một diễn viên Womdarful,0
SMS.,1
Yup ... từ những gì tôi remb ... tôi nghĩ nên có thể đặt ...,0
Jos hỏi bạn có muốn gặp nhau không?,0
Lol vâng.,0
"Themob> Kiểm tra lựa chọn mới nhất của chúng tôi về nội dung, trò chơi, âm điệu, tin đồn, Babes và Sport, giữ cho thiết bị di động của bạn phù hợp và wap văn bản vui nhộn đến 82468",1
Chìa khóa nhà để xe ở đâu?,0
Hôm nay là ngày chấp nhận..u chấp nhận tôi như?,0
Nghĩ rằng bạn thông minh?,1
Anh ấy nói anh ấy sẽ gọi cho tôi khi bạn của anh ấy nhận được tiền nhưng anh ấy chắc chắn sẽ mua trước cuối tuần,0
"Xin chào cách tôi đã ở với bạn 2 ngày, là cách bình thường đây là tôi thực sự.",0
Bạn đã làm cho ngày của tôi.,0
K.k :) tiến lên hạnh phúc pongal.,0
"Hmmm ... đoán chúng ta có thể đi 4 kb n power yoga ... haha, dunno chúng ta có thể tahan power yoga anot ... thk đã lo oso, quên liao ...",0
"Không thực sự là anh bạn, không có bạn bè, tôi sợ :(",0
Chỉ tháng 12!,1
"Bánh cà phê, tôi đoán ...",0
"Chúc bạn Giáng sinh vui vẻ, em yêu, anh yêu ya *nụ hôn *",0
Này ... tại sao chúng ta không đi xem x người đàn ông và ăn trưa ... haha,0
Cud u nói với ppl im gona b a bit l8 cos 2 xe buýt hav gon qua vì họ đã đầy và tôi vẫn chờ đợi 4 1. Pete x,0
Điều đó sẽ là tuyệt vời.,0
Không có gì.,0
Không có cuộc gọi..Messages..missed cuộc gọi,0
Honda :) Lớp học hôm nay thế nào?,0
"Tôi muốn nói đó là một dấu hiệu tốt, nhưng, bạn biết hồ sơ theo dõi của tôi khi đọc phụ nữ",0
"Tuyệt vời, nhắn tin cho tôi khi bạn đang đỗ",0
Tôi đang đọc văn bản tôi vừa gửi cho bạn.,0
K.K :) Phim Apo K.Good.,0
Có lẽ tôi có thể lấy cuốn sách ra Tomo sau đó trả lại ngay lập tức ..?,0
Gọi cho Đức chỉ với 1 pence mỗi phút!,1
Bất kỳ cơ hội nào bạn có thể đã có với tôi bốc hơi ngay khi bạn vi phạm quyền riêng tư của tôi bằng cách đánh cắp số điện thoại của tôi từ giấy tờ của chủ nhân của bạn.,0
Ngày lễ tình nhân đặc biệt!,1
Ta-daaaaa!,0
Mát mẻ.,0
Chỉ ngủ..và lướt sóng,0
"Xin lỗi, tôi sẽ gọi sau",0
"Xin lỗi, tôi sẽ gọi sau",0
"Được rồi, thật tuyệt vời hơn rất nhiều.",0
Tôi lấy nó bài viết đã đến sau đó!,0
Nơi bạn đã che giấu người lạ?,0
Tôi không quan tâm để làm như vậy.,0
Chị tôi đã xóa hai vòng ở Birla Soft ngày hôm qua.,0
Gudnite .... TC ... Thực hành đang diễn ra,0
Dis là yijue.,0
Một vấn đề uy tín nhỏ bây giờ.,0
Ưa thích một cái xù xì?,1
Chỉ cần đăng ký vào bạn.,0
"Nah không thể giúp bạn ở đó, tôi chưa bao giờ có iPhone",0
"Nếu bạn không ở trong xe của tôi trong một tiếng rưỡi, tôi sẽ apeshit",0
Hôm nay là ngày xin lỗi.!,0
Yo bạn bao giờ tìm ra chúng ta cần bao nhiêu cho rượu?,0
& lt;#& gt;,0
Cảm ơn bạn đã gọi. Hãy nói hạnh phúc onam với bạn Sirji.,0
Xin chúc mừng bạn đã trao 500 phiếu chứng từ CD hoặc 125Gift Đảm bảo & Nhập miễn phí 2 100 WKLY Vẽ nhạc TXT tới 87066 TNCS www.ldew.com1win150ppmx3age16,1
"Cân bằng tiền mặt của bạn hiện là 500 pounds-để tối đa hóa tiền mặt của bạn, bây giờ hãy gửi tiền mặt tới 86688 chỉ 150p/msg.",1
Tôi là một diễn viên.,0
Xin chào!,0
Ha ha Cool Cool Chikku Chikku:-):-DB-),0
Oh ok không có prob ..,0
Kiểm tra trạng thái của Audrey ngay bây giờ,0
Bận rộn ở đây.,0
Bận rộn ở đây.,0
Tôi biết Z sẽ chăm sóc tôi.,0
Update_Now - Ưu đãi Xmas!,1
Đây là mã giảm giá của bạn RP176781.,1
Đồng phục wat?,0
Đồng phục wat?,0
"Xin chào Boytoy của tôi ... Geeee, tôi nhớ bạn rồi và tôi vừa thức dậy.",0
Tôi cũng sẽ làm hỏng bạn trên giường :),0
Tôi sẽ đi tắm sẽ gửi tin nhắn cho bạn tiếp theo & lt;#& gt;,0
Tôi không thể nói chuyện với mọi người nếu không chắc tôi có thể trả tiền cho họ nếu họ đồng ý với giá.,0
"Cảm ơn đơn đặt hàng nhạc chuông của bạn, T91 tham khảo.",1
Bạn có thể nói điều gì xảy ra,0
Bạn có thể đã nhìn thấy tôi..Tôi không nhận ra bạn khuôn mặt. :),0
"Vâng, không có nhiều điều xảy ra ở Lindsay vào những năm mới * thở dài * Một số quán bar ở Ptbo và Blue Heron có một cái gì đó đang diễn ra",0
Giữ payasam của tôi ở đó nếu Rinu mang,0
Tôi đã dạy rằng Ranjith Sir đã gọi cho tôi.,0
Tôi đoán đó là lý do tại sao bạn lại lo lắng.,0
"Vâng chắc chắn, hãy cho tôi một vài phút để theo dõi ví của tôi",0
Này để lại nó.,0
"Này, tôi sẽ đến muộn ah ... gặp bạn lúc 945+",0
Double Mins và TXTS 4 6 tháng Bluetooth miễn phí trên Orange.,1
Nó đã mất Mr cú 3 liếm,0
Nơi khách hàng tôi sẽ gọi cho bạn.,0
Mm lúc đó bạn không thích vui vẻ,0
4mths Half Price Orange Line Cho thuê & điện thoại camera mới nhất 4 miễn phí.,1
Yup có bữa trưa tự chọn của tôi bây giờ .. bạn đã ăn rồi?,0
Huh quá muộn ... cho bữa tối?,0
Huh quá muộn ... cho bữa tối?,0
Buổi sáng chỉ tôi có thể ổn.,0
"Vâng, tôi nghĩ vậy.",0
Đón bạn Bout 7.30ish?,0
Từ đây sau khi giải thưởng hiệu suất được tính toán hai tháng một lần. Không có thời gian một tháng hiện tại ..,0
Đã thực sự ngủ và vẫn có thể khi bạn gọi lại.,0
Bạn luôn luôn đưa doanh nghiệp của bạn ra khỏi đó.,0
"Chào buổi tối thưa ngài, Al Salam Wahleykkum. Bị một tin vui.",0
Hmmm ... k ... nhưng tôi muốn thay đổi trường một cách nhanh chóng da :-) Tôi muốn lấy quản trị viên hệ thống hoặc quản trị viên mạng ..,0
Văn bản nhạc chuông miễn phí đầu tiên đến 87131 cho một poly hoặc văn bản được 87131 cho một giai điệu thực sự!,1
Thân mến thế nào là Chechi.,0
Kem tóc chưa được vận chuyển.,0
Không ai trong số đó xảy ra cho đến khi bạn đến đây,0
"Đúng, Great Loxahatchee Xmas Tree Burning of & lt;#& gt;",0
"Haha đã quen với việc lái xe đến người đàn ông USF, tôi biết rất nhiều người ném đá",0
"Haha đã quen với việc lái xe đến người đàn ông USF, tôi biết rất nhiều người ném đá",0
Xin chào!,0
Đi về phía Busetop,0
Đi về phía Busetop,0
Đến phòng của chúng tôi vào một lúc nào đó để chúng tôi có thể giải quyết kế hoạch cho cuối tuần này,0
Vì tôi muốn nó là thứ của bạn,0
